norm_name,go_func,go_recv,go_file,rust_func,rust_file,rust_impl,match_type,score,aligned,marked_round,note
_ensure_script_kind,,,,_ensure_script_kind,tsox-compile/src/compiler/extract_reference_types_directives.rs:191,,rust_only,0.0,,,
abort_parsing_list_or_move_to_next_token,abortParsingListOrMoveToNextToken,Parser,tsc/internal/parser/parser.go:731,abort_parsing_list_or_move_to_next_token,tsox-frontend/src/parser/impl_chunk_parser_3.rs:164,Parser,exact,1.0,,,
abs,Abs,Number,tsc/internal/jsnum/jsnum.go:123,abs,tsox-core/src/jsnum/number.rs:46,Number,exact,1.0,,,
accept,Accept,PipeTransport,tsc/internal/ipc/transport.go:32,,,,go_only,0.0,,,
accept,Accept,StdioTransport,tsc/internal/ipc/transport.go:63,,,,go_only,0.0,,,
accepts_void,acceptsVoid,,tsc/internal/checker/checker.go:9359,,,,go_only,0.0,,,
access_expression_base,,,,access_expression_base,tsox-checker/src/binder/bind_js_assignment_declarations.rs:111,,rust_only,0.0,,,
access_in_property_initializer,,,,access_in_property_initializer,tsox-checker/src/checker/checker_statements_checker_3.rs:209,Checker,rust_only,0.0,,,
access_kind,accessKind,,tsc/internal/ast/ast.go:1430,access_kind,tsox-checker/src/checker/checker_resolve_access.rs:13,,exact,1.0,,,
access_private_identifier,accessPrivateIdentifier,classFieldsTransformer,tsc/internal/transformers/estransforms/classfields.go:3181,,,,go_only,0.0,,,
accessor_member_prop_type,,,,accessor_member_prop_type,tsox-checker/src/checker/typenode_references_interface_members_accessors.rs:239,Checker,rust_only,0.0,,,
accessor_sibling,,,,accessor_sibling,tsox-checker/src/checker/typenode_references_accessor_cycles.rs:35,Checker,rust_only,0.0,,,
acquire,Acquire,,tsc/internal/project/ownercache.go:48,acquire,tsox-core/src/core/semaphore.rs:4;tsox-core/src/core/semaphore.rs:30;tsox-core/src/core/semaphore.rs:57;+4more,LimitedSemaphore;OwnerCache;ParseCache;RefCountCache;UnlimitedSemaphore;WatchRegistry,exact,1.0,,,
acquire,Acquire,,tsc/internal/project/refcountcache.go:44,acquire,tsox-core/src/core/semaphore.rs:4;tsox-core/src/core/semaphore.rs:30;tsox-core/src/core/semaphore.rs:57;+4more,LimitedSemaphore;OwnerCache;ParseCache;RefCountCache;UnlimitedSemaphore;WatchRegistry,exact,1.0,,,
acquire,Acquire,LimitedSemaphore,tsc/internal/core/semaphore.go:40,acquire,tsox-core/src/core/semaphore.rs:4;tsox-core/src/core/semaphore.rs:30;tsox-core/src/core/semaphore.rs:57;+4more,LimitedSemaphore;OwnerCache;ParseCache;RefCountCache;UnlimitedSemaphore;WatchRegistry,exact,1.0,,,
acquire,Acquire,UnlimitedSemaphore,tsc/internal/core/semaphore.go:14,acquire,tsox-core/src/core/semaphore.rs:4;tsox-core/src/core/semaphore.rs:30;tsox-core/src/core/semaphore.rs:57;+4more,LimitedSemaphore;OwnerCache;ParseCache;RefCountCache;UnlimitedSemaphore;WatchRegistry,exact,1.0,,,
acquire,Acquire,host,tsc/internal/contentmapper/hostimpl.go:736,acquire,tsox-core/src/core/semaphore.rs:4;tsox-core/src/core/semaphore.rs:30;tsox-core/src/core/semaphore.rs:57;+4more,LimitedSemaphore;OwnerCache;ParseCache;RefCountCache;UnlimitedSemaphore;WatchRegistry,exact,1.0,,,
acquire,Acquire,watchRegistry,tsc/internal/project/watch.go:53,acquire,tsox-core/src/core/semaphore.rs:4;tsox-core/src/core/semaphore.rs:30;tsox-core/src/core/semaphore.rs:57;+4more,LimitedSemaphore;OwnerCache;ParseCache;RefCountCache;UnlimitedSemaphore;WatchRegistry,exact,1.0,,,
acquire_config_for_file,acquireConfigForFile,configFileRegistryBuilder,tsc/internal/project/configfileregistrybuilder.go:312,,,,go_only,0.0,,,
acquire_config_for_project,acquireConfigForProject,configFileRegistryBuilder,tsc/internal/project/configfileregistrybuilder.go:282,,,,go_only,0.0,,,
acquire_or_error,AcquireOrError,,tsc/internal/project/refcountcache.go:66,,,,go_only,0.0,,,
action,Action,ruleImpl,tsc/internal/format/rule.go:12,,,,go_only,0.0,,,
active_path,,,,active_path,tsox-lsp/src/fourslash/session.rs:335,Session,rust_only,0.0,,,
active_watches_locked,activeWatchesLocked,fsEventsBackend,tsc/internal/fswatch/fsevents_darwin.go:232,,,,go_only,0.0,,,
actual_json_type,ActualJSONType,,tsc/internal/packagejson/expected.go:69,actual_json_type,tsox-tsoptions/src/packagejson/expected.rs:25,Expected,exact,1.0,,,
ad_hoc_message,,,,ad_hoc_message,tsox-core/src/diagnostics/tests.rs:30,,rust_only,0.0,,,
add,add,,tsc/internal/checker/utilities.go:864,add,tsox-core/src/collections/cow.rs:123;tsox-core/src/collections/multimap.rs:34;tsox-core/src/collections/ordered_set.rs:32;+7more,Bucket;CopyOnWriteSet;DiagnosticsCollection;DirtyMap;LogTree;ModuleCompletionSet;MultiMap;Number;OrderedSet;Set,exact,1.0,,,
add,Add,,tsc/internal/collections/cow.go:66,add,tsox-core/src/collections/cow.rs:123;tsox-core/src/collections/multimap.rs:34;tsox-core/src/collections/ordered_set.rs:32;+7more,Bucket;CopyOnWriteSet;DiagnosticsCollection;DirtyMap;LogTree;ModuleCompletionSet;MultiMap;Number;OrderedSet;Set,exact,1.0,,,
add,Add,,tsc/internal/collections/multimap.go:36,add,tsox-core/src/collections/cow.rs:123;tsox-core/src/collections/multimap.rs:34;tsox-core/src/collections/ordered_set.rs:32;+7more,Bucket;CopyOnWriteSet;DiagnosticsCollection;DirtyMap;LogTree;ModuleCompletionSet;MultiMap;Number;OrderedSet;Set,exact,1.0,,,
