suite,case,config,status,note,rust_status
compiler,2dArrays.ts,,go-pass,,
compiler,ArrowFunctionExpression1.ts,,go-diff,,
compiler,ClassDeclaration10.ts,,go-diff,,
compiler,ClassDeclaration11.ts,,go-diff,,
compiler,ClassDeclaration13.ts,,go-diff,,
compiler,ClassDeclaration14.ts,,go-diff,,
compiler,ClassDeclaration15.ts,,go-diff,,
compiler,ClassDeclaration21.ts,,go-diff,,
compiler,ClassDeclaration22.ts,,go-diff,,
compiler,ClassDeclaration24.ts,,go-diff,,
compiler,ClassDeclaration25.ts,,go-diff,,
compiler,ClassDeclaration26.ts,,go-diff,,
compiler,ClassDeclaration8.ts,,go-diff,,
compiler,ClassDeclaration9.ts,,go-diff,,
compiler,ClassDeclarationWithInvalidConstOnPropertyDeclaration.ts,,go-diff,,
compiler,ClassDeclarationWithInvalidConstOnPropertyDeclaration2.ts,,go-pass,,
compiler,DeclarationErrorsNoEmitOnError.ts,,go-pass,,
compiler,ExportAssignment7.ts,,go-diff,,
compiler,ExportAssignment8.ts,,go-diff,,
compiler,FunctionDeclaration3.ts,,go-diff,,
compiler,FunctionDeclaration4.ts,,go-diff,,
compiler,FunctionDeclaration6.ts,,go-diff,,
compiler,FunctionDeclaration7.ts,,go-diff,,
compiler,InterfaceDeclaration8.ts,,go-diff,,
compiler,MemberAccessorDeclaration15.ts,,go-diff,,
compiler,ParameterList13.ts,,go-diff,,
compiler,ParameterList4.ts,,go-diff,,
compiler,ParameterList5.ts,,go-diff,,
compiler,ParameterList6.ts,,go-diff,,
compiler,ParameterList7.ts,,go-diff,,
compiler,ParameterList8.ts,,go-diff,,
compiler,SystemModuleForStatementNoInitializer.ts,,go-pass,,
compiler,TransportStream.ts,,go-diff,,
compiler,abstractClassInLocalScope.ts,,go-pass,,
compiler,abstractClassInLocalScopeIsAbstract.ts,,go-diff,,
compiler,abstractClassUnionInstantiation.ts,,go-diff,,
compiler,abstractIdentifierNameStrict.ts,,go-pass,,
compiler,abstractInterfaceIdentifierName.ts,,go-pass,,
compiler,abstractPropertyBasics.ts,target=es5,go-pass,,
compiler,abstractPropertyBasics.ts,target=es2015,go-pass,,
compiler,abstractPropertyInConstructor.ts,,go-diff,,
compiler,abstractPropertyNegative.ts,target=es5,go-pass,,
compiler,abstractPropertyNegative.ts,target=es2015,go-diff,,
compiler,acceptSymbolAsWeakType.ts,,go-pass,,
compiler,acceptableAlias1.ts,,go-pass,,
compiler,accessInstanceMemberFromStaticMethod01.ts,,go-diff,,
compiler,accessOverriddenBaseClassMember1.ts,,go-pass,,
compiler,accessStaticMemberFromInstanceMethod01.ts,,go-diff,,
