suite,case,config,go_status,rust_status
compiler,ArrowFunctionExpression1.ts,[],go-diff,rust-pass
compiler,ClassDeclaration10.ts,[],go-diff,rust-pass
compiler,ClassDeclaration11.ts,[],go-diff,rust-pass
compiler,ClassDeclaration13.ts,[],go-diff,rust-pass
compiler,ClassDeclaration14.ts,[],go-diff,rust-pass
compiler,ClassDeclaration15.ts,[],go-diff,rust-pass
compiler,ClassDeclaration21.ts,[],go-diff,rust-pass
compiler,ClassDeclaration22.ts,[],go-diff,rust-pass
compiler,ClassDeclaration24.ts,[],go-diff,rust-pass
compiler,ClassDeclaration25.ts,[],go-diff,rust-pass
compiler,ClassDeclaration26.ts,[],go-diff,rust-pass
compiler,ClassDeclaration8.ts,[],go-diff,rust-pass
compiler,ClassDeclaration9.ts,[],go-diff,rust-pass
compiler,ClassDeclarationWithInvalidConstOnPropertyDeclaration.ts,[],go-diff,rust-pass
compiler,ExportAssignment7.ts,[],go-diff,rust-pass
compiler,ExportAssignment8.ts,[],go-diff,rust-pass
compiler,FunctionDeclaration3.ts,[],go-diff,rust-pass
compiler,FunctionDeclaration4.ts,[],go-diff,rust-pass
compiler,FunctionDeclaration6.ts,[],go-diff,rust-pass
compiler,FunctionDeclaration7.ts,[],go-diff,rust-pass
compiler,InterfaceDeclaration8.ts,[],go-diff,rust-pass
compiler,MemberAccessorDeclaration15.ts,[],go-diff,rust-pass
compiler,ParameterList13.ts,[],go-diff,rust-pass
compiler,ParameterList4.ts,[],go-diff,rust-pass
compiler,ParameterList5.ts,[],go-diff,rust-pass
compiler,ParameterList6.ts,[],go-diff,rust-pass
compiler,ParameterList7.ts,[],go-diff,rust-pass
compiler,ParameterList8.ts,[],go-diff,rust-pass
compiler,TransportStream.ts,[],go-diff,rust-pass
compiler,abstractClassInLocalScopeIsAbstract.ts,[],go-diff,rust-pass
compiler,abstractClassUnionInstantiation.ts,[],go-diff,rust-pass
compiler,abstractPropertyInConstructor.ts,[],go-diff,rust-pass
compiler,accessInstanceMemberFromStaticMethod01.ts,[],go-diff,rust-pass
compiler,accessStaticMemberFromInstanceMethod01.ts,[],go-diff,rust-pass
compiler,accessorBodyInTypeContext.ts,[],go-diff,rust-pass
compiler,accessorDeclarationEmitVisibilityErrors.ts,[],go-diff,rust-pass
compiler,accessorDeclarationOrder.ts,[],go-diff,rust-pass
compiler,accessorInAmbientContextES5.ts,['target=es2015'],go-diff,rust-pass
compiler,accessorParameterAccessibilityModifier.ts,['target=es2015'],go-diff,rust-pass
compiler,accessorWithInitializer.ts,['target=es2015'],go-diff,rust-pass
compiler,accessorWithRestParam.ts,['target=es2015'],go-diff,rust-pass
compiler,accessorWithoutBody1.ts,['target=es2015'],go-diff,rust-pass
compiler,accessorWithoutBody2.ts,['target=es2015'],go-diff,rust-pass
compiler,accessorsInAmbientContext.ts,['target=es2015'],go-diff,rust-pass
compiler,accessors_spec_section-4.5_error-cases.ts,[],go-diff,rust-pass
compiler,addMoreCallSignaturesToBaseSignature.ts,[],go-diff,rust-pass
compiler,addMoreCallSignaturesToBaseSignature2.ts,[],go-diff,rust-pass
compiler,addMoreOverloadsToBaseSignature.ts,[],go-diff,rust-pass
compiler,aliasAssignments.ts,[],go-diff,rust-pass
compiler,aliasBug.ts,[],go-diff,rust-pass
compiler,aliasDoesNotDuplicateSignatures.ts,[],go-diff,rust-pass
compiler,aliasErrors.ts,[],go-diff,rust-pass
compiler,aliasOnMergedModuleInterface.ts,[],go-diff,rust-pass
compiler,aliasUsageInAccessorsOfClass.ts,['target=es2015'],go-diff,rust-pass
compiler,aliasUsageInArray.ts,[],go-diff,rust-pass
compiler,aliasUsageInFunctionExpression.ts,[],go-diff,rust-pass
compiler,aliasUsageInGenericFunction.ts,[],go-diff,rust-pass
compiler,aliasUsageInIndexerOfClass.ts,[],go-diff,rust-pass
compiler,aliasUsageInObjectLiteral.ts,[],go-diff,rust-pass
compiler,aliasUsageInOrExpression.ts,[],go-diff,rust-pass
compiler,aliasUsageInTypeArgumentOfExtendsClause.ts,[],go-diff,rust-pass
compiler,aliasUsageInVarAssignment.ts,[],go-diff,rust-pass
compiler,aliasWithInterfaceExportAssignmentUsedInVarInitializer.ts,[],go-diff,rust-pass
compiler,allowImportClausesToMergeWithTypes.ts,[],go-diff,rust-pass
compiler,allowSyntheticDefaultImports10.ts,[],go-diff,rust-pass
compiler,allowSyntheticDefaultImports9.ts,[],go-pass,rust-diff
compiler,alwaysStrict.ts,[],go-diff,rust-pass
compiler,alwaysStrictES6.ts,[],go-diff,rust-pass
compiler,alwaysStrictModule.ts,[],go-diff,rust-pass
compiler,ambientEnum1.ts,[],go-diff,rust-pass
compiler,ambientErrors1.ts,[],go-diff,rust-pass
compiler,ambientExternalModuleInAnotherExternalModule.ts,[],go-diff,rust-pass
compiler,ambientExternalModuleWithRelativeExternalImportDeclaration.ts,[],go-diff,rust-pass
compiler,ambientExternalModuleWithRelativeModuleName.ts,[],go-diff,rust-pass
compiler,ambientGetters.ts,['target=es2015'],go-diff,rust-pass
compiler,ambientModules.ts,[],go-diff,rust-pass
compiler,ambientStatement1.ts,[],go-diff,rust-pass
compiler,ambiguousOverload.ts,[],go-diff,rust-pass
compiler,amdDependencyComment1.ts,[],go-diff,rust-pass
compiler,amdDependencyCommentName1.ts,[],go-diff,rust-pass
compiler,anonymousClassExpression2.ts,[],go-diff,rust-pass
compiler,anonymousModules.ts,[],go-diff,rust-pass
compiler,anyDeclare.ts,[],go-diff,rust-pass
compiler,anyIdenticalToItself.ts,[],go-diff,rust-pass
compiler,anyIndexedAccessArrayNoException.ts,[],go-diff,rust-pass
compiler,anyInferenceAnonymousFunctions.ts,[],go-diff,rust-pass
compiler,anyMappedTypesError.ts,[],go-diff,rust-pass
compiler,arguments.ts,[],go-diff,rust-pass
compiler,argumentsSpreadRestIterables.tsx,['target=esnext'],go-pass,rust-diff
compiler,argumentsUsedInClassFieldInitializerOrStaticInitializationBlock.ts,[],go-diff,rust-pass
compiler,arithAssignTyping.ts,[],go-diff,rust-pass
compiler,arithmeticOnInvalidTypes.ts,[],go-diff,rust-pass
compiler,arithmeticOnInvalidTypes2.ts,[],go-diff,rust-pass
compiler,arityErrorRelatedSpanBindingPattern.ts,[],go-diff,rust-pass
compiler,arrayAssignmentTest1.ts,[],go-diff,rust-pass
compiler,arrayAssignmentTest2.ts,[],go-diff,rust-pass
compiler,arrayAssignmentTest3.ts,[],go-diff,rust-pass
compiler,arrayAssignmentTest4.ts,[],go-diff,rust-pass
compiler,arrayAssignmentTest5.ts,[],go-diff,rust-pass
compiler,arrayAssignmentTest6.ts,[],go-diff,rust-pass
compiler,arrayBindingPatternOmittedExpressions.ts,[],go-diff,rust-pass
compiler,arrayBufferIsViewNarrowsType.ts,[],go-diff,rust-pass
compiler,arrayDestructuringInSwitch1.ts,[],go-pass,rust-diff
compiler,arrayFind.ts,[],go-pass,rust-diff
compiler,arrayFromAsync.ts,[],go-pass,rust-diff
compiler,arrayIndexWithArrayFails.ts,[],go-diff,rust-pass
compiler,arrayIterationLibES5TargetDifferent.ts,"['nolib=true', 'target=es2015']",go-pass,rust-diff
compiler,arrayIterationLibES5TargetDifferent.ts,"['nolib=true', 'target=esnext']",go-pass,rust-diff
compiler,arrayLiteralAndArrayConstructorEquivalence1.ts,[],go-diff,rust-pass
compiler,arrayLiteralTypeInference.ts,[],go-diff,rust-pass
compiler,arrayOfExportedClass.ts,[],go-diff,rust-pass
compiler,arrayReferenceWithoutTypeArgs.ts,[],go-diff,rust-pass
compiler,arraySlice.ts,[],go-diff,rust-pass
compiler,arrayToLocaleStringES2020.ts,[],go-pass,rust-diff
compiler,arrayconcat.ts,[],go-diff,rust-pass
compiler,arrowFunctionInConstructorArgument1.ts,[],go-diff,rust-pass
compiler,arrowFunctionMissingCurlyWithSemicolon.ts,[],go-diff,rust-pass
compiler,arrowFunctionParsingGenericInObject.ts,[],go-pass,rust-diff
compiler,arrowFunctionWithObjectLiteralBody1.ts,[],go-diff,rust-pass
compiler,arrowFunctionWithObjectLiteralBody2.ts,[],go-diff,rust-pass
