status,suite,case,config,note
rust-pass,compiler,2dArrays.ts,,
rust-pass,compiler,ArrowFunctionExpression1.ts,,
rust-pass,compiler,ClassDeclaration10.ts,,
rust-pass,compiler,ClassDeclaration11.ts,,
rust-pass,compiler,ClassDeclaration13.ts,,
rust-pass,compiler,ClassDeclaration14.ts,,
rust-pass,compiler,ClassDeclaration15.ts,,
rust-pass,compiler,ClassDeclaration21.ts,,
rust-pass,compiler,ClassDeclaration22.ts,,
rust-pass,compiler,ClassDeclaration24.ts,,
rust-pass,compiler,ClassDeclaration25.ts,,
rust-pass,compiler,ClassDeclaration26.ts,,
rust-pass,compiler,ClassDeclaration8.ts,,
rust-pass,compiler,ClassDeclaration9.ts,,
rust-pass,compiler,ClassDeclarationWithInvalidConstOnPropertyDeclaration.ts,,
rust-pass,compiler,ClassDeclarationWithInvalidConstOnPropertyDeclaration2.ts,,
rust-pass,compiler,DeclarationErrorsNoEmitOnError.ts,,
rust-pass,compiler,ExportAssignment7.ts,,
rust-pass,compiler,ExportAssignment8.ts,,
rust-pass,compiler,FunctionDeclaration3.ts,,
rust-pass,compiler,FunctionDeclaration4.ts,,
rust-pass,compiler,FunctionDeclaration6.ts,,
rust-pass,compiler,FunctionDeclaration7.ts,,
rust-pass,compiler,InterfaceDeclaration8.ts,,
rust-pass,compiler,MemberAccessorDeclaration15.ts,,
rust-pass,compiler,ParameterList13.ts,,
rust-pass,compiler,ParameterList4.ts,,
rust-pass,compiler,ParameterList5.ts,,
rust-pass,compiler,ParameterList6.ts,,
rust-pass,compiler,ParameterList7.ts,,
rust-pass,compiler,ParameterList8.ts,,
rust-skip,compiler,SystemModuleForStatementNoInitializer.ts,,module=System not supported
rust-pass,compiler,TransportStream.ts,,
rust-pass,compiler,abstractClassInLocalScope.ts,,
rust-pass,compiler,abstractClassInLocalScopeIsAbstract.ts,,
rust-pass,compiler,abstractClassUnionInstantiation.ts,,
rust-pass,compiler,abstractIdentifierNameStrict.ts,,
rust-pass,compiler,abstractInterfaceIdentifierName.ts,,
rust-skip,compiler,abstractPropertyBasics.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,abstractPropertyBasics.ts,target=es2015,
rust-pass,compiler,abstractPropertyInConstructor.ts,,
rust-skip,compiler,abstractPropertyNegative.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-diff,compiler,abstractPropertyNegative.ts,target=es2015,
rust-pass,compiler,acceptSymbolAsWeakType.ts,,
rust-pass,compiler,acceptableAlias1.ts,,
rust-pass,compiler,accessInstanceMemberFromStaticMethod01.ts,,
rust-pass,compiler,accessOverriddenBaseClassMember1.ts,,
rust-pass,compiler,accessStaticMemberFromInstanceMethod01.ts,,
rust-skip,compiler,accessorAccidentalCallDiagnostic.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-diff,compiler,accessorAccidentalCallDiagnostic.ts,target=es2015,
rust-pass,compiler,accessorBodyInTypeContext.ts,,
rust-skip,compiler,accessorDeclarationEmitJs.ts,,allowJs not supported
rust-pass,compiler,accessorDeclarationEmitVisibilityErrors.ts,,
rust-pass,compiler,accessorDeclarationOrder.ts,,
